symbol,date,open,high,low,close
BTC,2017-06-14T00:00:00Z,2712.99,2803.72,2348.99,2467.27
BTC,2017-06-15T00:00:00Z,2467.27,2521.6,2125.56,2442.46
BTC,2017-06-16T00:00:00Z,2442.46,2536.42,2335.28,2508.58
BTC,2017-06-17T00:00:00Z,2508.58,2690.71,2454.81,2655.1
BTC,2017-06-18T00:00:00Z,2655.1,2676.04,2488.59,2539.56
BTC,2017-06-19T00:00:00Z,2539.56,2617.75,2518.78,2616.82
BTC,2017-06-20T00:00:00Z,2616.82,2800.48,2613.98,2754.38
BTC,2017-06-21T00:00:00Z,2754.38,2804.41,2624.35,2677.62
BTC,2017-06-22T00:00:00Z,2677.62,2757.32,2623.17,2722.84
BTC,2017-06-23T00:00:00Z,2722.84,2759.66,2699.48,2710.37
BTC,2017-06-24T00:00:00Z,2710.37,2741.56,2540.35,2590.05
BTC,2017-06-25T00:00:00Z,2590.05,2660.66,2472.37,2541.62
BTC,2017-06-26T00:00:00Z,2541.62,2584.75,2327.26,2446.05
BTC,2017-06-27T00:00:00Z,2446.05,2585.06,2309.63,2583.75
BTC,2017-06-28T00:00:00Z,2583.75,2616.95,2490.11,2577.74
BTC,2017-06-29T00:00:00Z,2577.74,2605.86,2526.51,2558.37
BTC,2017-06-30T00:00:00Z,2558.37,2576.28,2469.54,2480.61
BTC,2017-07-01T00:00:00Z,2480.61,2529.62,2387.47,2424.61
BTC,2017-07-02T00:00:00Z,2424.61,2555.34,2375.86,2536.46
BTC,2017-07-03T00:00:00Z,2536.46,2617.48,2506.3,2572.47
BTC,2017-07-04T00:00:00Z,2572.47,2658.73,2569.99,2617.32
BTC,2017-07-05T00:00:00Z,2617.32,2642.74,2562.04,2627.86
BTC,2017-07-06T00:00:00Z,2627.86,2634.84,2581.8,2614.24
BTC,2017-07-07T00:00:00Z,2614.24,2617.48,2484.73,2513.88
BTC,2017-07-08T00:00:00Z,2513.88,2568.73,2480.62,2564.86
BTC,2017-07-09T00:00:00Z,2564.86,2576.73,2509.65,2511.43
BTC,2017-07-10T00:00:00Z,2511.43,2530.34,2271.79,2344.02
BTC,2017-07-11T00:00:00Z,2344.02,2412.75,2265.48,2324.29
BTC,2017-07-12T00:00:00Z,2324.29,2424.82,2262.08,2403.09
BTC,2017-07-13T00:00:00Z,2403.09,2436.66,2334.96,2362.44
BTC,2017-07-14T00:00:00Z,2362.44,2370.53,2165.36,2234.17
BTC,2017-07-15T00:00:00Z,2234.17,2237.13,1974.03,1975.08
BTC,2017-07-16T00:00:00Z,1975.08,2044.41,1808.99,1914.09
BTC,2017-07-17T00:00:00Z,1914.09,2233.83,1913.79,2233.39
BTC,2017-07-18T00:00:00Z,2233.39,2400.74,2164.59,2320.23
BTC,2017-07-19T00:00:00Z,2320.23,2412.38,2243.13,2282.58
BTC,2017-07-20T00:00:00Z,2282.58,2932.81,2282.11,2866.02
BTC,2017-07-21T00:00:00Z,2866.02,2873.96,2622.54,2675.08
BTC,2017-07-22T00:00:00Z,2675.08,2876.71,2658.59,2836.53
BTC,2017-07-23T00:00:00Z,2836.53,2856.67,2675.65,2756.61
BTC,2017-07-24T00:00:00Z,2756.61,2798.89,2715.69,2763.42
BTC,2017-07-25T00:00:00Z,2763.42,2779.08,2472.62,2582.58
BTC,2017-07-26T00:00:00Z,2582.58,2631.73,2441.54,2559.21
BTC,2017-07-27T00:00:00Z,2559.21,2712.92,2547.74,2691.88
BTC,2017-07-28T00:00:00Z,2691.88,2843.78,2683.59,2806.75
BTC,2017-07-29T00:00:00Z,2806.75,2812.13,2699.42,2733.5
BTC,2017-07-30T00:00:00Z,2733.5,2773.06,2621.68,2766.49
BTC,2017-07-31T00:00:00Z,2766.49,2916.3,2723.05,2883.27
BTC,2017-08-01T00:00:00Z,2883.27,2946.02,2659.62,2746.99
BTC,2017-08-02T00:00:00Z,2746.99,2773.8,2668.87,2720.53
BTC,2017-08-03T00:00:00Z,2720.53,2822.88,2717.62,2809.99
BTC,2017-08-04T00:00:00Z,2809.99,2892.67,2779.51,2878.49
BTC,2017-08-05T00:00:00Z,2878.49,3344.01,2875.91,3262.8
BTC,2017-08-06T00:00:00Z,3262.8,3295.07,3166.52,3232.03
